student_id,dropout
1,0
2,1
3,0
4,0
5,1
6,1
7,0
8,1
9,1
10,0
11,1
12,0
13,0
14,1
15,1
16,0
17,0
18,1
19,1
20,1
21,0
22,0
23,1
24,1
25,1
26,0
27,0
28,1
29,1
30,0
31,1
32,1
33,1
34,1
35,0
36,1
37,0
38,0
39,1
40,1
41,0
42,1
43,1
44,0
45,0
46,1
47,0
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,1
58,1
59,0
60,1
61,1
62,1
63,0
64,1
65,0
66,0
67,1
68,1
69,0
70,1
71,0
72,0
73,1
74,0
75,1
76,1
77,0
78,0
79,1
80,1
81,1
82,1
83,0
84,1
85,0
86,0
87,1
88,0
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,0
97,1
98,1
99,1
100,0
101,1
102,1
103,1
104,1
105,0
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,0
116,1
117,0
118,1
119,1
120,1
121,1
122,0
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,0
134,1
135,1
136,1
137,1
138,1
139,0
140,1
141,1
142,0
143,1
144,1
145,1
146,1
147,0
148,0
149,1
150,0
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,0
163,0
164,1
165,0
166,1
167,0
168,1
169,1
170,0
171,0
172,0
173,1
174,1
175,1
176,1
177,0
178,0
179,1
180,0
181,1
182,0
183,1
184,0
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,0
198,0
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,0
208,1
209,0
210,0
211,0
212,1
213,1
214,0
215,1
216,1
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,1
225,0
226,0
227,1
228,1
229,1
230,1
231,0
232,0
233,1
234,0
235,1
236,1
237,1
238,1
239,1
240,1
241,0
242,0
243,1
244,1
245,1
246,1
247,0
248,0
249,1
250,0
251,0
252,1
253,1
254,1
255,1
256,0
257,0
258,0
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,0
271,0
272,1
273,0
274,1
275,0
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,0
289,0
290,1
291,1
292,1
293,1
294,0
295,0
296,1
297,1
298,1
299,0
300,0
301,0
302,1
303,1
304,1
305,0
306,1
307,1
308,0
309,0
310,1
311,1
312,1
313,1
314,1
315,0
316,0
317,0
318,0
319,0
320,0
321,1
322,0
323,0
324,1
325,0
326,0
327,0
328,0
329,1
330,1
331,0
332,1
333,0
334,0
335,0
336,0
337,1
338,0
339,1
340,1
341,1
342,1
343,0
344,0
345,1
346,1
347,0
348,1
349,1
350,0
351,1
352,0
353,1
354,1
355,1
356,0
357,1
358,0
359,0
360,1
361,1
362,0
363,1
364,0
365,0
366,1
367,0
368,0
369,1
370,1
371,1
372,1
373,1
374,0
375,0
376,1
377,1
378,0
379,0
380,1
381,0
382,0
383,1
384,0
385,1
386,1
387,1
388,0
389,1
390,1
391,1
392,1
393,0
394,0
395,0
396,1
397,1
398,1
399,0
400,1
401,0
402,1
403,1
404,0
405,1
406,0
407,1
408,0
409,0
410,0
411,1
412,1
413,1
414,0
415,0
416,0
417,1
418,1
419,0
